ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
-0.2996; 0.1907; 10.1063; 160.0; -24.75; 29.5; -25.12; 39.44; -1.94; 1.22; 3.543307; 89.8; 78.0; 3.956; 4; 
0.0681; 0.6129; 9.0303; 160.0; -24.94; 23.63; -30.19; 46.39; -1.66; 2.06; 3.543307; 89.8; 78.0; 3.956; 515; 
0.109; 0.9126; 8.2267; 160.0; -24.62; 22.31; -28.56; 43.07; -1.81; 0.27; 3.543307; 89.8; 78.0; 3.956; 1030; 
0.2179; -0.0272; 10.8009; 160.0; -23.37; 25.63; -26.25; 41.18; -5.08; 0.01; 3.543307; 89.8; 78.0; 3.956; 1536; 
-0.2588; -0.0681; 11.2504; 160.0; -23.56; 25.0; -26.87; 43.36; -0.38; -0.46; 3.543307; 89.8; 78.0; 3.956; 2058; 
-0.2588; 0.4086; 9.3436; 160.0; -24.69; 27.19; -27.31; 42.74; -1.8; 1.51; 3.543307; 89.8; 78.0; 3.956; 2558; 
-0.3814; 0.8036; 10.3787; 160.0; -24.25; 25.69; -28.19; 41.54; -2.0; -0.23; 3.543307; 89.8; 78.0; 3.956; 3086; 
-0.2179; 0.4495; 10.188; 160.0; -25.19; 24.63; -35.12; 43.29; -2.88; 0.05; 3.543307; 89.8; 78.0; 3.956; 3587; 
0.4495; 0.9943; 9.4525; 160.0; -23.87; 19.56; -34.0; 47.74; -2.22; -0.91; 3.543307; 89.8; 78.0; 3.956; 4119; 
0.7627; 0.8717; 9.6432; 160.0; -29.75; 15.0; -31.56; 56.69; -5.67; -3.79; 3.543307; 89.8; 78.0; 3.956; 4640; 
0.9534; 1.9068; 9.3844; 160.0; -31.5; 10.81; -29.87; 61.17; -7.72; -5.73; 3.543307; 89.8; 78.0; 3.956; 5140; 
1.2531; 2.833; 8.4991; 160.0; -32.0; 10.75; -29.44; 58.46; -12.79; -6.26; 3.543307; 89.8; 78.0; 3.956; 5641; 
0.7219; 1.4846; 9.4117; 160.0; -32.56; 10.56; -30.12; 52.07; -18.12; -9.29; 3.543307; 89.8; 78.0; 3.956; 6141; 
1.2531; 0.2996; 9.6023; 160.0; -32.31; 12.88; -30.81; 55.49; -11.14; -6.58; 3.543307; 89.8; 78.0; 3.956; 6653; 
1.3757; -0.9126; 10.297; 160.0; -31.56; 20.69; -32.87; 50.27; -3.61; -6.62; 3.543307; 89.8; 78.0; 3.956; 7153; 
0.9534; -1.3757; 9.8067; 160.0; -26.62; 27.88; -31.5; 38.41; 1.86; -9.87; 3.543307; 89.8; 78.0; 3.956; 7653; 
0.6129; -1.3348; 10.6375; 160.0; -6.56; 29.94; -15.12; 13.99; 6.29; -5.95; 3.543307; 89.8; 78.0; 3.956; 8176; 
0.7219; 0.1498; 8.9894; 160.0; -24.0; 25.13; -28.5; 45.17; 5.86; -4.02; 3.543307; 89.8; 78.0; 3.956; 8684; 
0.8717; -0.1907; 9.221; 160.0; -20.62; 26.13; -21.0; 36.02; -0.4; -5.18; 3.543307; 89.8; 78.0; 3.956; 9185; 
0.4903; -0.0272; 9.5751; 160.0; -21.69; 27.38; -22.12; 36.86; 1.92; -4.05; 3.543307; 89.8; 78.0; 3.956; 9686; 
0.2179; 0.0; 9.8339; 160.0; -21.62; 27.06; -24.87; 38.38; 1.31; -2.46; 3.543307; 89.8; 78.0; 3.956; 10211; 

